timestamp,open,high,low,close,volume
2025-05-07 00:00:00,1817.22,1817.69,1815.67,1817.59,191.19997
2025-05-07 00:01:00,1817.59,1819.3,1817.24,1817.24,175.34952
2025-05-07 00:02:00,1817.24,1817.24,1815.79,1816.54,70.88509
2025-05-07 00:03:00,1816.54,1819.07,1816.54,1818.04,79.95892
2025-05-07 00:04:00,1818.04,1818.39,1816.52,1816.95,45.20216
2025-05-07 00:05:00,1816.95,1819.54,1816.95,1819.5,66.44177
2025-05-07 00:06:00,1819.5,1821.27,1817.21,1817.27,220.93332
2025-05-07 00:07:00,1817.27,1820.39,1817.2,1818.25,234.90625
2025-05-07 00:08:00,1818.25,1818.85,1816.25,1816.25,79.52316
2025-05-07 00:09:00,1816.25,1817.59,1814.36,1817.59,86.57874
2025-05-07 00:10:00,1817.59,1819.19,1817.42,1818.86,168.7916
2025-05-07 00:11:00,1818.86,1819.06,1816.57,1817.2,97.08543
2025-05-07 00:12:00,1817.2,1817.59,1816.12,1816.67,57.72865
2025-05-07 00:13:00,1816.67,1817.42,1815.6,1816.8,43.60189
2025-05-07 00:14:00,1816.8,1819.98,1816.8,1819.98,43.73224
2025-05-07 00:15:00,1819.98,1822.54,1819.86,1821.4,284.4838
2025-05-07 00:16:00,1821.4,1821.51,1819.73,1820.08,94.75336
2025-05-07 00:17:00,1820.08,1820.78,1819.17,1820.42,96.04188
2025-05-07 00:18:00,1820.42,1820.78,1819.94,1820.33,63.74208
2025-05-07 00:19:00,1820.33,1822.88,1820.16,1822.88,73.34069
2025-05-07 00:20:00,1822.88,1825.85,1822.88,1825.85,449.10301
2025-05-07 00:21:00,1825.85,1835.34,1825.21,1834.68,2048.10277
2025-05-07 00:22:00,1834.68,1847.56,1834.33,1844.4,2580.74386
2025-05-07 00:23:00,1844.4,1845.47,1838.94,1839.83,1271.68063
2025-05-07 00:24:00,1839.83,1841.42,1838.34,1839.2,679.38669
2025-05-07 00:25:00,1839.2,1843.81,1838.93,1840.99,248.71227
2025-05-07 00:26:00,1840.99,1843.3,1835.46,1835.59,300.01602
