time,value
0, 0.0
1, 0.04444421582111185
2, 0.0888870599106956
3, 0.13332716057956048
4, 0.17776314622318892
5, 0.22219364536407002
6, 0.26661728669402895
7, 0.31103269911655107
8, 0.3554385117890999
9, 0.39983335416542665
10, 0.44421585603787095
11, 0.4885846475796515
12, 0.532938359387144
13, 0.5772756225221467
14, 0.6215950685541324
15, 0.665895329602482
16, 0.7101750383787048
17, 0.7544328282286374
18, 0.7986673331746252
19, 0.8428771879576811
20, 0.8870610280796238
21, 0.9312174898451918
22, 0.9753452104041318
23, 1.019442827793263
24, 1.0635089809785125
25, 1.1075423098969222
26, 1.151541455498625
27, 1.1955050597887937
28, 1.2394317658695508
29, 1.2833202179818501
30, 1.3271690615473202
31, 1.3709769432100727
32, 1.4147425108784724
33, 1.4584644137668672
34, 1.5021413024372816
35, 1.5457718288410631
36, 1.5893546463604897
37, 1.6328884098503325
38, 1.6763717756793715
39, 1.7198034017718664
40, 1.763181947648978
41, 1.8065060744701418
42, 1.8497744450743885
43, 1.892985724021616
44, 1.9361385776338047
45, 1.9792316740361835
46, 2.0222636831983327
47, 2.0652332769752384
48, 2.1081391291482805
49, 2.1509799154661686
50, 2.193754313685813
51, 2.2364610036131323
52, 2.279098667143803
53, 2.321665988303941
54, 2.3641616532907164
55, 2.4065843505129045
56, 2.448932770631366
57, 2.4912056065994586
58, 2.533401553703379
59, 2.5755193096024303
60, 2.6175575743692177
61, 2.659515050529772
62, 2.701390443103591
63, 2.7431824596436107
64, 2.7848898102760957
65, 2.826511207740447
66, 2.8680453674289375
67, 2.9094910074263547
68, 2.9508468485495687
69, 2.9921116143870132
70, 3.0332840313380802
71, 3.0743628286524283
72, 3.115346738469204
73, 3.1562344958561726
74, 3.1970248388487588
75, 3.237716508488998
76, 3.27830824886439
77, 3.3187988071466643
78, 3.3591869336304465
79, 3.399471381771829
80, 3.4396509082268443
81, 3.479724272889842
82, 3.5196902389317586
83, 3.5595475728382984
84, 3.599295044447997
85, 3.6389314269901956
86, 3.6784554971229
87, 3.71786603497054
88, 3.7571618241616194
89, 3.7963416518662583
90, 3.835404308833624
91, 3.8743485894292577
92, 3.913173291672282
93, 3.9518772172725
94, 3.9904591716673785
95, 4.028917964058919
96, 4.067252407450409
97, 4.105461318683059
98, 4.143543518472518
99, 4.181497831445274
100, 4.219323086174924
101, 4.25701811521834
102, 4.2945817551516905
103, 4.3320128466063546
104, 4.369310234304704
105, 4.406472767095758
106, 4.443499297990714
107, 4.4803886841983465
108, 4.517139787160283
109, 4.553751472586138
110, 4.590222610488529
111, 4.626552075217944
112, 4.662738745497494
113, 4.698781504457511
114, 4.734679239670023
115, 4.770430843183091
116, 4.806035211555
117, 4.841491245888316
118, 4.8767978518638095
119, 4.911953939774219
120, 4.946958424557896
121, 4.981810225832286
122, 5.016508267927276
123, 5.051051479918395
124, 5.085438795659868
125, 5.119669153817518
126, 5.153741497901528
127, 5.187654776299045
128, 5.2214079423066355
129, 5.254999954162597
130, 5.288429775079107
131, 5.321696373274223
132, 5.354798722003729
133, 5.3877357995928215
134, 5.420506589467647
